Genus,Number of sequences
Hydnotrya,10
Hydnum,30
Hydropisphaera,1
Hydropunctaria,5
Hydropus,2
Hygrocybe,70
Hygrophoraceae,9
Hygrophoropsis,3
Hygrophorus,58
Hymenagaricus,1
Hymenochaetaceae,24
Hymenochaetales,9
Hymenochaete,47
Hymenogaster,22
Hymenopellis,14
Hymenoscyphus,36
Hymenula,1
Hyperphyscia,1
Hyphoderma,24
Hyphodermella,3
Hyphodiscus,8
Hyphodontia,19
Hyphodontiella,1
Hypholoma,10
Hyphomucor,1
Hyphopichia,2
Hypocenomyce,1
Hypochnicium,23
Hypocopra,1
Hypocrea,7
Hypocreaceae,13
Hypocreales,111
Hypocrella,2
Hypocreopsis,3
Hypogymnia,14
Hypohelion,1
Hypomyces,25
Hyponectriaceae,4
Hypotrachyna,14
Hypoxylon,101
Hypsizygus,3
Hysterangiales,2
Hysterangium,7
Hysteriales,3
Hysterium,1
Hysteropatella,1
Icmadophila,1
Ilyonectria,8
Imaia,2
Imleria,1
Immersaria,1
Immersidiscosia,1
Immersiporthe,1
Imperator,1
Imshaugia,1
Incertomyces,1
Incrucipulum,3
Infundibulicybe,3
Infundichalara,5
Inocephalus,2
Inocutis,3
Inocybaceae,52
Inocybe,458
Inocyclus,1
Inonotus,18
Irpex,2
Isaria,6
Ischnoderma,2
Isomucor,1
Issatchenkia,2
Itersonilia,1
Jaapia,2
Jahnoporus,2
Jahnula,4
Jahnulales,1
Jaminaea,1
Japewia,1
Jattaea,3
Joergensenia,1
Johnalcornia,1
Josefpoeltia,1
Junghuhnia,8
Kabatiella,5
Kabatina,1
Kaernefeltia,2
Kaernefia,2
Kalaharituber,1
Kalapuya,1
Kappamyces,1
Karoowia,6
Kavinia,1
Kazachstania,30
Keissleriella,1
Kellermania,4
Kendrickiella,3
Kickxellales,1
Kirramyces,2
Kirschsteiniothelia,2
Kirstenboschia,1
Kluyveromyces,7
Knoxdaviesia,4
Knufia,9
Kochiomyces,2
Kockovaella,8
Kodamaea,2
Kohlmeyeriopsis,1
Kohninia,1
Kondoa,5
Kregervanrija,1
Kretzschmaria,5
Kroswia,1
Kuehneola,1
Kuehneromyces,4
Kuraishia,3
Kurtzmanomyces,4
Kwoniella,2
Kylindria,1
Lacazia,1
Laccaria,32
Laccariopsis,1
Lachancea,6
Lachnella,2
Lachnellula,4
Lachnum,32
Lacrymaria,2
Lactarius,208
Lactifluus,70
Laetiporus,19
Laetisaria,2
Lagenulopsis,1
Lalaria,3
Lambertella,5
Lambiella,4
Langeottia,1
Lanzia,2
Lasallia,6
Lasiodiplodia,26
Lasiosphaeria,3
Lasiosphaeriaceae,23
Lasiosphaeris,8
Lasmenia,1
Latorua,1
Latruncellus,1
Lauriomyces,1
Lecanactis,1
Lecania,11
Lecanicillium,21
Lecanora,52
Lecanoraceae,5
Lecanorales,8
Lecanoromycetes,22
Lecanosticta,1
Leccinellum,2
Leccinum,13
Lecidea,11
Lecidella,7
Leciophysma,1
Lectera,1
Lecythophora,4
Leiosepium,1
Leiosphaerella,1
Leiotrametes,1
Lemonniera,1
Lentamyces,2
Lentaria,5
Lentinellus,20
Lentinula,7
Lentinus,15
Lentitheciaceae,2
Lentithecium,1
Lenzites,1
Lenzitopsis,2
Leohumicola,6
Leotia,7
Leotiomycetes,66
Lepidocollema,2
Lepidostroma,1
Lepiota,56
Lepista,10
Lepraria,31
Leprocaulon,6
Leproplaca,1
Lepteutypa,2
Leptodontidium,9
Leptogium,40
Leptographium,6
Leptoporus,1
Leptosphaeria,18
Leptosphaeriaceae,6
Leptosphaerulina,1
Leptospora,2
Leptosporomyces,5
Leptoxyphium,1
Leratiomyces,1
Letendraea,2
Letharia,1
Lethariella,1
Letrouitia,2
Leucangium,2
Leucoagaricus,51
Leucocoprinus,13
Leucocortinarius,1
Leucocybe,1
Leucogaster,4
Leucoglossum,1
Leucogyrophana,3
Leucopaxillus,4
Leucophleps,4
Leucosporidiales,4
Leucosporidiella,2
Leucosporidium,7
Leucostoma,2
Leveillula,10
Liberomyces,1
Lichenobarya,1
Lichenomphalia,4
Lichtheimia,9
Lichtheimiaceae,1
Lignincola,9
Lignosus,5
Limacella,6
Limonomyces,1
Linderina,2
Lindgomyces,7
Lindtneria,4
Linospora,1
Lipomyces,13
Lirula,2
Llimoniella,1
Lobaria,18
Lobariaceae,7
Lobariella,8
Lobothallia,6
Lodderomyces,1
Lopadostoma,8
Lopharia,1
Lophiostoma,19
Lophiostomataceae,4
Lophiotrema,2
Lophium,1
Lophodermium,33
Lophophacidium,1
Loramyces,1
Loweomyces,2
Loxospora,2
Luellia,4
Lulwoana,2
Lulworthia,2
Lunulospora,4
Luteocirrhus,1
Lycoperdaceae,2
Lycoperdon,17
Lyophyllaceae,6
Lyophyllum,17
Lysurus,1
Macalpinomyces,2
Macgarvieomyces,2
Macowanites,2
Macroconia,1
Macrocybe,1
Macrocystidia,1
Macrodiplodiopsis,1
Macrohyporia,1
Macrolepiota,14
Macrophomina,1
Macrotyphula,1
Macroventuria,1
Madurella,2
Magnaporthaceae,10
Magnaporthales,3
Magnaporthe,2
Magnaporthiopsis,4
Magnusiomyces,2
Malassezia,21
Malasseziales,1
Malbranchea,3
Mallochia,1
Manglicola,1
Marasmiaceae,7
Marasmiellus,10
Marasmius,72
Marchandiobasidium,1
Marchandiomyces,3
Mariannaea,2
Masonhalea,2
Massaria,11
Massarina,6
Massarinaceae,3
Massariosphaeria,1
Mastigobasidium,3
Mastigosporium,1
Mattirolomyces,2
Medicopsis,1
Megacapitula,1
Megacollybia,10
Megalaria,1
Megaloblastenia,1
Megalospora,3
Megaspora,1
Megasporaceae,1
Megasporia,3
Megasporoporia,3
Megasporoporiella,4
Meira,8
Melampsora,20
Melampsoraceae,2
Melampsoridium,3
Melanconidaceae,4
Melanconiella,11
Melanconis,2
Melanconium,1
Melanelia,5
Melanelixia,8
Melanoderma,1
Melanogaster,7
Melanogastraceae,1
Melanohalea,16
Melanoleuca,26
Melanophyllum,3
Melanoporia,2
Melanopsamma,1
Melanotaenium,1
Melanotrigonum,1
Melanoxa,1
Meliniomyces,12
Melogramma,1
Membranomyces,1
Menegazzia,3
